Team,Played,Current Points,Projected Points,Title %,Top 4 %,Relegation %
Manchester City,38,34,78,40.3,97.5,0.0
Arsenal,38,36,77,42.2,96.9,0.0
Aston Villa,38,33,73,14.6,89.5,0.0
Chelsea,38,28,65,1.4,42.4,0.0
Liverpool,38,26,65,1.1,41.8,0.0
Manchester Utd,38,26,62,0.2,19.4,0.0
Crystal Palace,38,26,57,0.1,5.9,0.0
Everton,38,24,56,0.0,3.1,0.0
Sunderland,38,26,52,0.0,0.5,0.0
Brighton,38,23,52,0.0,0.6,0.2
Newcastle Utd,38,22,52,0.0,0.8,0.2
Bournemouth,38,21,52,0.0,0.9,0.3
Tottenham,38,22,49,0.0,0.1,1.0
Fulham,38,20,48,0.0,0.2,1.7
Brentford,38,20,48,0.0,0.1,1.4
Leeds United,38,16,47,0.0,0.1,2.6
Nott'ham Forest,38,18,44,0.0,0.0,5.1
West Ham,38,13,31,0.0,0.0,92.1
Burnley,38,10,30,0.0,0.0,95.3
Wolves,38,2,13,0.0,0.0,100.0
